Copied from https://pokefarm.wiki/List_of_Pok%C3%A9mon/Exclusive_Pok%C3%A9mon
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
IMG Codes			o/l/e/1	h/z/v/u	h/z/4	o/m/y/2
Faemísimo	Type Fairy.pngType Flying.png		Faemisimo.png	Shiny Faemisimo.png	Albino Faemisimo.png	Melanistic Faemisimo.png
IMG Codes			k/n/e/4	z/v/q/5	n/e/4/k	m/3/g/l
Wagell	Type Poison.pngType Fairy.png	Wagell Egg.png	Wagell.png	Shiny Wagell.png	Albino Wagell.png	Melanistic Wagell.png
IMG Codes		y/q/w/s	e/5/l/y	t/w/j/z	i/5/x/p	s/y/1/4
Wanamangora	Type Poison.pngType Fairy.png		Wanamangora.png	Shiny Wanamangora.png	Albino Wanamangora.png	Melanistic Wanamangora.png
IMG Codes			e/f/2/d	f/s/q/l	l/l/9	l/g/d/i
Mega Wanamangora	Type Poison.pngType Fairy.png		Mega Wanamangora.png	Shiny Mega Wanamangora.png	Albino Mega Wanamangora.png	Melanistic Mega Wanamangora.png
IMG Codes			p/8/6/4	p/0/o/e	f/e/w/y	b/x/d/h
Gosold	Type Normal.pngType Flying.png	Gosold Egg.png	Gosold.png	Shiny Gosold.png	Albino Gosold.png	Melanistic Gosold.png
IMG Codes		c/u/e/3	t/a/f/b	o/1/w/3	g/0/t/7	6/h/s
Goldesem	Type Psychic.pngType Flying.png		Goldesem.png	Shiny Goldesem.png	Albino Goldesem.png	Melanistic Goldesem.png
IMG Codes			y/t/1/3	x/3/3/j	k/n/v/w	i/3/j/n
Impyre	Type Dark.png	Impyre Egg.png	Impyre.png	Shiny Impyre.png	Albino Impyre.png	Melanistic Impyre.png
IMG Codes		q/6/7/a	o/t/0/8	8/r/y/d	9/p/z/9	g/v/m/s
Baflammet	Type Dark.pngType Fire.png		Baflammet.png	Shiny Baflammet.png	Albino Baflammet.png	Melanistic Baflammet.png
IMG Codes			9/x/w/4	m/h/v/0	6/o/0/f	z/n/f/a
Searene	Type Dragon.pngType Water.png	Searene Egg.png	Searene.png	Shiny Searene.png	Albino Searene.png	Melanistic Searene.png
IMG Codes		e/o/7/7	o/e/4/i	n/5/f/m	r/q/6/f	j/h/i/q
Solynx	Type Fire.png	Solynx Egg.png	Solynx.png	Shiny Solynx.png	Albino Solynx.png	Melanistic Solynx.png
IMG Codes		w/e/u/8	w/9/0	v/f/w/2	q/h/v/j	o/v/n/0
Mega Solynx	Type Fire.pngType Electric.png		Mega Solynx.png	Shiny Mega Solynx.png	Albino Mega Solynx.png	Melanistic Mega Solynx.png
IMG Codes			z/6/f/0	7/p/p/n	o/i/d/a	a/7/1/p
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Ardik	Type Ice.png	Ardik Egg.png	Ardik.png	Shiny Ardik.png	Albino Ardik.png	Melanistic Ardik.png
IMG Codes		9/2/e/8	v/n/4/t	2/1/5/a	e/d/e/i	5/d/0/j
Sibex	Type Ice.png		Sibex.pngFemale Sibex.png	Shiny Sibex.pngShiny Female Sibex.png	Albino Sibex.pngAlbino Female Sibex.png	Melanistic Sibex.pngMelanistic Female Sibex.png
IMG Codes			u/a/l/a Female 1/7/1/5	l/4/5/7 Female 2/9/i/t	3/l/q/n Female x/7/d/b	t/x/4/u Female t/2/z/z
Boxaby	Type Rock.pngType Fighting.png	Boxaby Egg.png	Boxaby.png	Shiny Boxaby.png	Albino Boxaby.png	Melanistic Boxaby.png
IMG Codes		8/h/p/5	p/h/o/e	s/c/u/8	4/q/d/z	a/2/v/2
Kangspar	Type Rock.pngType Fighting.png		Kangspar.png	Shiny Kangspar.png	Albino Kangspar.png	Melanistic Kangspar.png
IMG Codes			6/v/n/7	1/j/z/w	c/v/p/m	8/m/6/t
Mega Kangspar	Type Rock.pngType Fighting.png		Mega Kangspar Q.png	Shiny Mega Kangspar Q.png	Albino Mega Kangspar Q.png	Melanistic Mega Kangspar Q.png
IMG Codes			1/j/p/o	x/6/j/i	3/1/q/p	l/n/d/k
Bunbori	Type Ice.pngType Fairy.png	Bunbori Egg.png	Bunbori.png	Shiny Bunbori.png	Albino Bunbori.png	Melanistic Bunbori.png
IMG Codes		5/a/l/e	s/a/y/e	t/g/e/a	q/y/p	y/i/c/h
Mega Bunbori	Type Ice.pngType Fairy.png		Mega Bunbori.png	Shiny Mega Bunbori.png	Albino Mega Bunbori.png	Melanistic Mega Bunbori.png
IMG Codes			7/5/d/q	o/4/x/s	2/c/s/9	g/i/h/c
Taiveret	Type Grass.png	Taiveret Egg.png	Taiveret.png	Shiny Taiveret.png	Albino Taiveret.png	Melanistic Taiveret.png
IMG Codes		v/v/p/m	l/c/6/d	w/1/5/u	m/1/q/o	v/t/n/8
Taipaeus	Type Grass.png		Taipaeus.png	Shiny Taipaeus.png	Albino Taipaeus.png	Melanistic Taipaeus.png
IMG Codes			x/0/j	m/9/e/s	y/n/r/l	m/f/4/a
Taimorpha	Type Grass.pngType Fighting.png		Taimorpha.png	Shiny Taimorpha.png	Albino Taimorpha.png	Melanistic Taimorpha.png
IMG Codes			n/r/r/9	k/t/g/6	f/w/p/u	o/n/p/5
Flarbat	Type Fire.pngType Flying.png	Flarbat Egg.png	Flarbat.png	Shiny Flarbat.png	Albino Flarbat.png	Melanistic Flarbat.png
IMG Codes		o/c/k/e	u/0/d	g/g/u/9	w/t/w/w	i/r/g/t
Flarotis	Type Fire.pngType Fairy.png		Flarotis.png Female Flarotis.png	Shiny Flarotis.png Shiny Female Flarotis.png	Albino Flarotis.png Albino Female Flarotis.png	Melanistic Flarotis.png Melanistic Female Flarotis.png
IMG Codes			p/k/m/e Female 3/g/q/g	t/9/v/c Female n/j/q/u	g/9/r/p Female x/7/j/r	s/q/a/9 Female i/n/i/h
Flaroptera	Type Fire.pngType Fairy.png		Flaroptera.png Female Flaroptera.png	Shiny Flaroptera.png Shiny Female Flaroptera.png	Albino Flaroptera.png Albino Female Flaroptera.png	Melanistic Flaroptera.png Melanistic Female Flaroptera.png
IMG Codes			q/c/s/g Female k/4/0/9	i/x/0/f Female 6/l/i/o	u/7/o/i Female b/r/0	5/b/j/5 Female i/5/y/v
Hydrark	Type Water.png	Hydrark Egg.png	Hydrark.png	Shiny Hydrark.png	Albino Hydrark.png	Melanistic Hydrark.png
IMG Codes		7/w/7/v	h/2/y/e	e/k/8/a	6/3/h/4	m/7/f/n
Hydrinus	Type Water.png		Hydrinus.png	Shiny Hydrinus.png	Albino Hydrinus.png	Melanistic Hydrinus.png
IMG Codes			j/q/x/a	a/6/e/r	h/7/g/p	m/6/l/i
Hydrinifor	Type Water.pngType Steel.png		Hydrinifor.png	Shiny Hydrinifor.png	Albino Hydrinifor.png	Melanistic Hydrinifor.png
IMG Codes			j/3/9/z	i/l/u/v	e/8/z	a/s/k/t
Gragon	Type Ghost.pngType Dragon.png	Gragon Egg.png	Gragon.png	Shiny Gragon.png	Albino Gragon.png	Melanistic Gragon.png
IMG Codes		u/4/z/o	i/4/o/7	q/o/2/3	e/4/t/b	l/x/p/i
Reaper Cloth Gragon	Type Ghost.pngType Dragon.png		Reaper Cloth Gragon.png	Shiny Reaper Cloth Gragon.png	Albino Reaper Cloth Gragon.png	Melanistic Reaper Cloth Gragon.png
IMG Codes			6/j/y/t	u/l/9/s	3/o/f/p	y/p/d/v
Greegon	Type Ghost.pngType Dragon.png		Greegon.png	Shiny Greegon.png	Albino Greegon.png	Melanistic Greegon.png
IMG Codes			b/f/r/s	q/4/e/c	t/z/v/c	l/a/z/4
Avaragon	Type Ghost.pngType Dragon.png		Avaragon.png	Shiny Avaragon.png	Albino Avaragon.png	Melanistic Avaragon.png
IMG Codes			a/x/5/o	d/n/2/t	j/x/r/3	d/6/5/t
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Kinaster	Type Dark.pngType Fire.png	Kinaster Egg.png	Kinaster.png	Shiny Kinaster.png	Albino Kinaster.png	Melanistic Kinaster.png
IMG Codes		v/k/6/v	r/k/s/f	d/m/f/w	1/7/u	p/a/u/e
Luckoo	Type Grass.pngType Flying.png	Luckoo Egg.png	Luckoo.png	Shiny Luckoo.png	Albino Luckoo.png	Melanistic Luckoo.png
IMG Codes		y/o/0/r	l/c/p/g	1/u/a/n	1/b/6/3	9/x/3/p
Peckoo	Type Grass.pngType Flying.png		Peckoo.png	Shiny Peckoo.png	Albino Peckoo.png	Melanistic Peckoo.png
IMG Codes			a/6/r/j	5/f/3/e	w/n/j/3	k/e/1/8
Peekoo	Type Grass.pngType Psychic.png		Peekoo.png	Shiny Peekoo.png	Albino Peekoo.png	Melanistic Peekoo.png
IMG Codes			w/8/x/a	8/k/3/3	u/a/j/n	v/b/x/d
Arasprit	Type Ground.png	Arasprit Egg.png	Arasprit.png	Shiny Arasprit.png	Albino Arasprit.png	Melanistic Arasprit.png
IMG Codes		7/9/i/m	6/e/2/d	f/t/d/5	v/p/0/n	4/q/0/j
Arthreux	Type Ground.pngType Bug.png		Arthreux.png	Shiny Arthreux.png	Albino Arthreux.png	Melanistic Arthreux.png
IMG Codes			8/7/j/r	m/p/f/4	f/e/3	9/i/g/v
Quetzephyr	Type Electric.pngType Flying.png	Quetzephyr Egg.png	Quetzephyr.png	Shiny Quetzephyr.png	Albino Quetzephyr.png	Melanistic Quetzephyr.png
IMG Codes		4/i/h/o	k/u/s/u	o/a/x/c	b/u/w/x	g/f/t/g
Quetzaptyl	Type Electric.pngType Flying.png		Quetzaptyl.png	Shiny Quetzaptyl.png	Albino Quetzaptyl.png	Melanistic Quetzaptyl.png
IMG Codes			8/q/d/t	b/h/l/e	4/e/f/n	m/c/e/j
Pixrine	Type Rock.pngType Fairy.png	Pixrine Egg.png	Pixrine.png	Shiny Pixrine.png	Albino Pixrine.png	Melanistic Pixrine.png
IMG Codes		z/a/0/2	i/1/3/j	i/s/o/c	a/f/q/c	w/l/p/6
Kitsunari	Type Psychic.png	Kitsunari Egg.png	Kitsunari.png	Shiny Kitsunari.png	Albino Kitsunari.png	Melanistic Kitsunari.png
IMG Codes		2/1/j/l	z/h/9/j	t/n/l/m	u/r/c/r	9/f/0/k
Kitsubuki	Type Psychic.pngType Ghost.png		Kitsubuki.png	Shiny Kitsubuki.png	Albino Kitsubuki.png	Melanistic Kitsubuki.png
IMG Codes			7/4/c/m	8/y/8/9	o/j/0/p	j/x/x/2
Kryptik	Type Rock.pngType Ghost.png	Kryptik Egg.png	Kryptik.png	Shiny Kryptik.png	Albino Kryptik.png	Melanistic Kryptik.png
IMG Codes		s/m/f/g	p/p/m/v	l/9/o/t	f/2/g/a	o/f/7/q
Bandicoon	Type Normal.pngType Dark.png	Bandicoon Egg.png	Bandicoon.png	Shiny Bandicoon.png	Albino Bandicoon.png	Melanistic Bandicoon.png
IMG Codes		z/1/o/d	i/8/w/q	t/b/4/a	n/i/v/4	y/m/5/d
Phastix	Type Bug.png	Phastix Egg.png	Phastix.png	Shiny Phastix.png	Albino Phastix.png	Melanistic Phastix.png
IMG Codes		a/0/n/o	a/6/r/2	2/4/8/l	j/5/l/7	6/q/w/8
Forest Phasmaleef	Type Bug.png		Forest Phasmaleef.png	Shiny Forest Phasmaleef.png	Albino Forest Phasmaleef.png	Melanistic Forest Phasmaleef.png
IMG Codes			d/2/9/c	e/m/l/f	g/1/3/x	t/h/2/z
Desert Phasmaleef	Type Bug.png		Desert Phasmaleef.png	Shiny Desert Phasmaleef.png	Albino Desert Phasmaleef.png	Melanistic Desert Phasmaleef.png
IMG Codes			3/h/o/8	u/j/j/8	v/5/e/4	r/k/4/9
Glaquine	Type Ice.png	Glaquine Egg.png	Glaquine.png	Shiny Glaquine.png	Albino Glaquine.png	Melanistic Glaquine.png
IMG Codes		e/c/z/a	8/f/5	k/2/8/q	1/r/h/4	o/i/r/d
Cavallost	Type Ice.png		Cavallost.png	Shiny Cavallost.png	Albino Cavallost.png	Melanistic Cavallost.png
IMG Codes			6/u/r/a	2/5/z/m	v/x/m/l	k/v/8/b
Minibbit	Type Steel.png	Minibbit Egg.png	Minibbit.png	Shiny Minibbit.png	Albino Minibbit.png	Melanistic Minibbit.png
IMG Codes		1/4/k/l	m/g/n/z	5/1/7/o	o/b/5/r	y/p/v/1
Metabbit	Type Steel.png		Metabbit.png	Shiny Metabbit.png	Albino Metabbit.png	Melanistic Metabbit.png
IMG Codes			c/5/8/x	5/j/t/a	p/v/t/f	v/7/j/5
Terabbit	Type Steel.png		Terabbit.png	Shiny Terabbit.png	Albino Terabbit.png	Melanistic Terabbit.png
IMG Codes			8/9/s/w	x/w/7/0	c/u/4/u	d/z/1/j
Mega Terabbit	Type Steel.png		Mega Terabbit Q.png	Shiny Mega Terabbit Q.png	Albino Mega Terabbit Q.png	Melanistic Mega Terabbit Q.png
IMG Codes			i/9/x/8	r/y/y/p	d/z/1/j	q/z/p/o
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Tillink	Type Ground.png	Tillink Egg.png	Tillink.png	Shiny Tillink.png	Albino Tillink.png	Melanistic Tillink.png
IMG Codes		7/y/g/4	o/b/o/1	s/f/z/9	k/c/a/h	u/q/e/u
Terrink	Type Ground.png		Terrink.png	Shiny Terrink.png	Albino Terrink.png	Melanistic Terrink.png
IMG Codes			c/7/e/e	n/t/q/9	i/c/z/j	q/u/u/h
Bezerell	Type Water.pngType Dark.png	Bezerell Egg.png	Bezerell.png	Shiny Bezerell.png	Albino Bezerell.png	Melanistic Bezerell.png
IMG Codes		7/9/n/x	8/g/e/i	f/8/b/c	8/n/8/z	b/w/g/7
Bezermuur	Type Water.pngType Dark.png		Bezermuur.png	Shiny Bezermuur.png	Albino Bezermuur.png	Melanistic Bezermuur.png
IMG Codes			7/n/e/a	y/2/6/5	l/v/d/h	q/t/2/n
Bezermuut	Type Water.pngType Dark.png		Bezermuut.png	Shiny Bezermuut.png	Albino Bezermuut.png	Melanistic Bezermuut.png
IMG Codes			i/y/0/l	a/z/m/o	9/9/v/v	f/a/d/3
Ayeren	Type Normal.pngType Psychic.png	Ayeren Egg.png	Ayeren.png	Shiny Ayeren.png	Albino Ayeren.png	Melanistic Ayeren.png
IMG Codes		x/6/y/4	9/c/e/r	i/0/f/c	i/m/a/d	h/s/4/m
Aytheraye	Type Normal.pngType Ghost.png		Aytheraye.png	Shiny Aytheraye.png	Albino Aytheraye.png	Melanistic Aytheraye.png
IMG Codes			y/m/9/u	j/8/v	p/y/z/t	v/9/c/h
Skeleco	Type Water.pngType Ghost.png	Skeleco Egg.png	Skeleco.png	Shiny Skeleco.png	Albino Skeleco.png	Melanistic Skeleco.png
IMG Codes		k/w/j/q	v/0/z/o	k/g/o/8	n/5/6/u	7/t/u/k
Phantiidae	Type Water.pngType Ghost.png		Phantiidae.png	Shiny Phantiidae.png	Albino Phantiidae.png	Melanistic Phantiidae.png
IMG Codes			z/m/i/9	n/y/c/2	s/e/6/8	z/v/6/e
Klaatupillar	Type Bug.png	Klaatupillar Egg.png	Klaatupillar.png	Shiny Klaatupillar.png	Albino Klaatupillar.png	Melanistic Klaatupillar.png
IMG Codes		1/a/l/m	s/i/6/k	r/n/s/9	o/e/2/6	5/t/5/3
Charaxalis	Type Bug.png		Charaxalis.png	Shiny Charaxalis.png	Albino Charaxalis.png	Melanistic Charaxalis.png
IMG Codes			s/8/k/c	a/y/0/r	q/b/9/j	o/3/2/b
Incantasius	Type Bug.pngType Psychic.png		Incantasius.png	Shiny Incantasius.png	Albino Incantasius.png	Melanistic Incantasius.png
IMG Codes			v/z/2/x	6/q/w/5	4/y/g/b	i/e/j/3
Kyutopi	Type Psychic.pngType Fairy.png	Kyutopi Egg.png	Kyutopi.png	Shiny Kyutopi.png	Albino Kyutopi.png	Melanistic Kyutopi.png
IMG Codes		e/4/9/m	6/a/w/r	k/y/1/x	1/w/l/c	7/s/c/o
Konatus	Type Psychic.pngType Fairy.png		Konatus.png	Shiny Konatus.png	Albino Konatus.png	Melanistic Konatus.png
IMG Codes			o/0/6/a	8/b/e/9	i/o/9/z	4/f/7/f
Kenyip	Type Ground.png	Kenyip Egg.png	Kenyip.png	Shiny Kenyip.png	Albino Kenyip.png	Melanistic Kenyip.png
IMG Codes		i/7/l/p	u/9/w/y	3/v/2/c	y/0/1/s	g/v/r/5
Arfrica	Type Ground.pngType Fighting.png		Arfrica.png	Shiny Arfrica.png	Albino Arfrica.png	Melanistic Arfrica.png
IMG Codes			j/v/7/h	u/p/s/j	e/i/o/q	u/y/n/r
Kalahowli	Type Ground.pngType Fighting.png		Kalahowli.png	Shiny Kalahowli.png	Albino Kalahowli.png	Melanistic Kalahowli.png
IMG Codes			w/v/l/6	p/c/d/u	5/n/1/s	8/3/s/n
Petripeep	Type Rock.png	Petripeep Egg.png	Petripeep.png	Shiny Petripeep.png	Albino Petripeep.png	Melanistic Petripeep.png
IMG Codes		g/y/k/l	u/e/0/9	n/1/e/r	8/t/k/0	y/0/w/5
Chirock	Type Rock.pngType Dragon.png		Chirock.png	Shiny Chirock.png	Albino Chirock.png	Melanistic Chirock.png
IMG Codes			i/f/5/v	l/6/c/p	h/i/q/a	x/i/1/u
Toxitrice	Type Rock.pngType Dragon.png		Toxitrice.png	Shiny Toxitrice.png	Albino Toxitrice.png	Melanistic Toxitrice.png
IMG Codes			6/b/o/7	e/j/5/f	5/x/n/n	2/y/9/v
Serpetone	Type Rock.pngType Poison.png		Serpetone.png	Shiny Serpetone.png	Albino Serpetone.png	Melanistic Serpetone.png
IMG Codes			b/b/y/7	z/c/6/w	s/4/w/r	1/2/9/0
Toxilisk	Type Rock.pngType Poison.png		Toxilisk.png	Shiny Toxilisk.png	Albino Toxilisk.png	Melanistic Toxilisk.png
IMG Codes			e/1/q/f	r/c/q/q	q/0/8/q	i/w/l
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Gumairy	Type Grass.pngType Fairy.png	Gumairy Egg.png	Gumairy.png	Shiny Gumairy.png	Albino Gumairy.png	Melanistic Gumairy.png
IMG Codes		c/0/p/f	k/h/l/n	w/b/q/4	d/d/1/j	2/i/r/s
Eucylph	Type Grass.pngType Fairy.png		Eucylph.png	Shiny Eucylph.png	Albino Eucylph.png	Melanistic Eucylph.png
IMG Codes			5/7/o/9	t/r/1/f	m/z/7/o	e/h/2/0
Totem Eucylph Q	Type Grass.pngType Fairy.png		Totem Eucylph Q.png	Shiny Totem Eucylph Q.png	Albino Totem Eucylph Q.png	Melanistic Totem Eucylph Q.png
IMG Codes			8/u/p/z	o/k/s/7	e/4/f/w	z/2/c/n
Puppod	Type Poison.pngType Normal.png	Puppod Egg.png	Puppod.png	Shiny Puppod.png	Albino Puppod.png	Melanistic Puppod.png
IMG Codes		g/6/g/a	z/3/o/c	1/r/7/4	n/3/1/2	c/q/n/z
Slugdog	Type Poison.pngType Normal.png		Slugdog.png	Shiny Slugdog.png	Albino Slugdog.png	Melanistic Slugdog.png
IMG Codes			g/v/c/u	l/e/l/u	w/m/i/4	i/g/u/p
Rokiwi	Type Grass.png	Rokiwi Egg.png	Rokiwi.png	Shiny Rokiwi.png	Albino Rokiwi.png	Melanistic Rokiwi.png
IMG Codes		3/p/c/0	m/q/0/n	d/t/f/n	k/z/2/e	u/0/y/0
Brushiwi	Type Grass.pngType Dark.png		Brushiwi.png	Shiny Brushiwi.png	Albino Brushiwi.png	Melanistic Brushiwi.png
IMG Codes			l/1/q/w	6/y/2/o	i/5/y/c	i/1/g/m
Alicalf	Type Ice.pngType Rock.png	Alicalf Egg.png	Alicalf.png Female Alicalf.png	Shiny Alicalf.pngShiny Female Alicalf.png	Albino Alicalf.pngAlbino Female Alicalf.png	Melanistic Alicalf.pngMelanistic Female Alicalf.png
IMG Codes		w/7/r/u	f/x/p/v Female 1/r/1/6	q/k/v/k Female n/7/3/o	6/v/p/n Female g/x/5/o	q/z/9/0 Female t/v/d/6
Cetacorn	Type Ice.pngType Rock.png		Cetacorn.png Female Cetacorn.png	Shiny Cetacorn.pngShiny Female Cetacorn.png	Albino Cetacorn.pngAlbino Female Cetacorn.png	Melanistic Cetacorn.pngMelanistic Female Cetacorn.png
IMG Codes			d/e/2/7 Female 2/8/k/a	w/7/s/u Female h/4/z/a	w/e/t/l Female n/u/r/8	d/u/e/m Female 4/1/e/6
Valkind	Type Fairy.pngType Fighting.png	Valkind Egg.png	Valkind.png	Shiny Valkind.png	Albino Valkind.png	Melanistic Valkind.png
IMG Codes		e/2/x/i	a/r/w/a	h/3/l/c	l/1/5/q	s/i/t/1
Frayja	Type Fairy.pngType Fighting.png		Frayja.png	Shiny Frayja.png	Albino Frayja.png	Melanistic Frayja.png
IMG Codes			f/f/u/m	r/w/h/5	n/j/s	u/d/n/6
Croaket	Type Dark.png	Croaket Egg.png	Croaket.png	Shiny Croaket.png	Albino Croaket.png	Melanistic Croaket.png
IMG Codes		u/s/8/z	c/8/d/w	z/4/w/5	f/f/e/p	a/s/z/2
Toxic Forme Quibbit	Type Dark.pngType Poison.png		Toxic Forme Quibbit.png	Shiny Toxic Forme Quibbit.png	Albino Toxic Forme Quibbit.png	Melanistic Toxic Forme Quibbit.png
IMG Codes			f/7/1/f	z/r/7/u	h/a/5/n	h/a/e/w
Charged Forme Quibbit	Type Dark.pngType Electric.png		Charged Forme Quibbit.png	Shiny Charged Forme Quibbit.png	Albino Charged Forme Quibbit.png	Melanistic Charged Forme Quibbit.png
IMG Codes			o/9/1/l	l/g/o/j	q/i/b/k	j/i/o/d
Herbal Forme Quibbit	Type Dark.pngType Grass.png		Herbal Forme Quibbit.png	Shiny Herbal Forme Quibbit.png	Albino Herbal Forme Quibbit.png	Melanistic Herbal Forme Quibbit.png
IMG Codes			6/p/6/b	t/1/t/4	x/n/z/p	7/d/k/o
Magma Forme Quibbit	Type Dark.pngType Fire.png		Magma Forme Quibbit.png	Shiny Magma Forme Quibbit.png	Albino Magma Forme Quibbit.png	Melanistic Magma Forme Quibbit.png
IMG Codes			h/w/o/m	x/s/c/k	5/p/y/d	k/a/5/0
Fae Forme Quibbit	Type Dark.pngType Fairy.png		Fae Forme Quibbit.png	Shiny Fae Forme Quibbit.png	Albino Fae Forme Quibbit.png	Melanistic Fae Forme Quibbit.png
IMG Codes			9/a/8/a	l/p/r/1	7/7/4/m	x/m/z/t
Slypin	Type Psychic.pngType Dark.png	Slypin Egg.png	Slypin.png	Shiny Slypin.png	Albino Slypin.png	Melanistic Slypin.png
IMG Codes		b/d/c/s	z/a/r/5	s/j/k/d	3/z/x/l	2/3/e/w
Haredini	Type Psychic.pngType Dark.png		Haredini.png	Shiny Haredini.png	Albino Haredini.png	Melanistic Haredini.png
IMG Codes			7/f/7/1	s/g/h/4	3/m/5/r	9/2/h/3
Selkrub	Type Bug.pngType Poison.png	Selkrub Egg.png	Selkrub.png	Shiny Selkrub.png	Albino Selkrub.png	Melanistic Selkrub.png
IMG Codes		u/y/z/b	4/r/g/t	5/7/4/1	n/w/s/w	v/9/b/d
Aqrabion	Type Bug.pngType Poison.png		Aqrabion.png	Shiny Aqrabion.png	Albino Aqrabion.png	Melanistic Aqrabion.png
IMG Codes			s/l/m/q	a/x/w/1	d/p/7/z	z/e/s/w
Skargas	Type Bug.pngType Poison.png		Skargas.png	Shiny Skargas.png	Albino Skargas.png	Melanistic Skargas.png
IMG Codes			n/7/q/e	d/g/d/7	7/b/6/f	u/4/s/1
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Kawotor	Type Water.pngType Normal.png	Kawotor Egg.png	Kawotor.png	Shiny Kawotor.png	Albino Kawotor.png	Melanistic Kawotor.png
IMG Codes		8/9/y/e	2/i/9/l	h/e/b/v	s/u/f/c	7/z/g/w
Lutriva	Type Water.pngType Fighting.png		Lutriva.png	Shiny Lutriva.png	Albino Lutriva.png	Melanistic Lutriva.png
IMG Codes			b/8/1/b	g/5/o/n	e/y/9/6	q/j/7/5
Selutian	Type Water.pngType Ice.png		Selutian.png	Shiny Selutian.png	Albino Selutian.png	Melanistic Selutian.png
IMG Codes			g/p/0/8	7/b/w/w	u/g/a/k	j/2/2/j
Kitwurm	Type Bug.png	Kitwurm Egg.png	Kitwurm.png	Shiny Kitwurm.png	Albino Kitwurm.png	Melanistic Kitwurm.png
IMG Codes		z/w/5/6	3/u/p/t	q/f/u/i	5/y/q/9	h/n/e/9
Purrpa	Type Bug.png		Purrpa.png	Shiny Purrpa.png	Albino Purrpa.png	Melanistic Purrpa.png
IMG Codes			a/s/u/8	8/f/z/p	e/c/u/g	e/s/0/q
Moffkat	Type Bug.pngType Fairy.png		Moffkat.png	Shiny Moffkat.png	Albino Moffkat.png	Melanistic Moffkat.png
IMG Codes			i/f/k/o	w/9/x/z	3/y/b/t	i/z/g/f
Pepyre	Type Grass.pngType Fire.png	Pepyre Egg.png	Pepyre.png	Shiny Pepyre.png	Albino Pepyre.png	Melanistic Pepyre.png
IMG Codes		3/u/4/u	l/6/t/r	j/c/t/f	x/x/m/j	e/t/q/6
Skarasear	Type Grass.pngType Fire.png		Skarasear.png	Shiny Skarasear.png	Albino Skarasear.png	Melanistic Skarasear.png
IMG Codes			c/3/k/0	4/t/e/n	l/5/w/z	e/c/b/4
Aphreyd	Type Bug.png	Aphreyd Egg.png	Aphreyd.png	Shiny Aphreyd.png	Albino Aphreyd.png	Melanistic Aphreyd.png
IMG Codes		k/r/y/x	e/8/o/2	l/v/9/l	q/m/i/i	h/u/y/c
Scavady	Type Bug.png		Scavady.png	Shiny Scavady.png	Albino Scavady.png	Melanistic Scavady.png
IMG Codes			4/b/p/m	c/7/0/s	s/4/w/t	q/u/q/t
Mantidra	Type Bug.pngType Dragon.png		Mantidra.png	Shiny Mantidra.png	Albino Mantidra.png	Melanistic Mantidra.png
